id	document	label
1	음악과 영상이 너무 좋았고 스토리도 기가 막혔습니다.세번째 보는데도 너무 재밌고 또보고 싶네요	1
2	감동이네요~ ! ^___^	1
3	콘돔이 이렇게 위험한 결말이 탄생하다니	1
4	와.. 이것이 영화인가.... 눈 배림	0
5	뭐 이런 영화가 다 있냐...	1
6	인실좆 판타지의 발칙함.	0
7	억지로 운동권을 미화한 느낌.가족애를 소재로 넣은 것이 그나마 감동을 유지.	0
8	귀신에 놀라 암이 완치 되었습니다.	0
9	후기가 알바인가 싶을정도뭔가싶고 불편한부분도 있었네요 아름다움으로 꾸며보고싶어하는거같았지만 무튼 별로에요	0
10	미쳤다 노잼수준 유치하고	0
11	결혼에대한 무섭고 무거운 인식을 풀어줄 법한 가족영화, 어지러운 스토리 연출 아쉽다..	0
12	초등학생 때 매일 집에서 비디오로 돌려봐도 질리지 않았다. 서른 중반,  어제 오랜만에 또 봤는데 노래 다 기억나고 감동과 재미가 어릴 때 본것 보다 다섯배다. 너무나 아름답고, 고결하며, 사랑과 진실함과 따뜻함과 웃음이 가득한 영화! 인류 영화계에 길이 남을 명작!	1
13	국제결혼의 OO점을 알리는 영화	0
14	재밌다 웃기고 극장에서봄ㅋㅋ	1
15	절때보지마셈 최악임 억지같은다 이걸 보라만든거임	0
16	요즘 아동 성추행 조두순 출소로 인해  시끄러웠는데 영화를 보고 생각이  많아졌습니다. 배우님들의 연기를 보고 화가 나기도 하고 대체 어른들은 뭘하는걸까 하는 미안함도 함께 했습니다. 사회가 피해자를 보호하고 법이 그들 편에 서서 마음편히 살수 있는 생활을 꿈꿔봅니다. 화이팅~~	1
17	별생각없이 봤는데 정말 재밌게봤네요	1
18	일본 원작을 굉장히 감동깊게 봤었습니다. 인생 영화중의 하나로 꼽을 수 있을만큼 말이죠.리메이크한다는 말을 듣고 무조건 봐야겠다 생각했고 그래서 봤습니다.원작과 비교없이 순수하게 한국영화로만 생각하며 보자.라고 마음먹었고요.솔직히 중반까지 괜찮았어요. 한지민의 시크한 조제 연기 굉장히 잘 어울리고 남주혁 괜찮았고.아..근데 이건 좀 아니죠.원작하고 비교해서가 아니라 이건 그냥 연출력이 부족한거예요.중반이후로 영화속 인물들에게 감정이입이 안되요. 진짜로요.영상미가 있다느니 주인공들 연기가 좋다드니 이건 모두 알바 소행입니다.이 영화는 감정이입하며 보는 영화예요. 그런 영화에 영상미, 연기? 이딴건 그냥 부가적인 요소일뿐이고요.보고 나오면서 너무 안타깝더라고요.왜 이렇게 만들었을까....원작과 거리를 두려 일부러 이랬나 싶기도 하고.	1
19	그린일베 지능낮은 개이버 극우들이 싫어할 아주 멋진영화	1
20	중국 자본 들어갔냐?중국을 너무 빠네	0
21	청소년들이 꼭 봐야할 영화인 거 같아요. 태아 생명의 소중함을 깨닫게 됐어요.	1
22	참신한 소재. 초중반까지의 긴박한 전개가 정말 마음에 들었어요!	1
23	이번 코난이 가장 재미있었던 듯 해요.그런데 마지막에 눈사태가 일어난 것은 좀 과장_어쨌든 재밌게 봤고요.코난 좋아하는 분들에게 강추 합니다.	1
24	감동적입니다.눈물 시원하게 흘렸네요..부모님께 효도 해야 겠어요..	1
25	이 영화를 보고 제이크 질렌할의 팬 이 되었다 스릴러와 가장 잘 어울리는 배우	1
26	목적없는 생에 이리저리 흘러가는 두 사람의 만남.하나는 연애놀음으로  하나는 거짓말로 자신들의 공허와 두려움을 채우지만.. 오랜만에 눈물샘을 자극하는 영화. 조제의 삶이 얼마나 외로웠을까..영석이 얼마나 맘에 가책을 받았을까..	1
27	왜 보면서 자꾸 눈물이 나지 .. 어릴때 추억이 생각나서 그런건가	1
28	오늘 티비에서 하길래 정말 오랫만에 다시 봤네요. 오늘도 눈물 주루륵 ㅠ	1
29	잔잔하지만 긴장감 있는 연출로 끝까지 집중하게 만듦 장면 하나하나 복선이 숨어있어 집중해서 봐야됨 제이크 질렌할과 휴잭맨 연기 때문에 누구도 편을 들 수가 없다	1
30	적절하게 운대가 들어맞는	1
31	학교에서 틀어준 영화에서는 탑인것 같다. 어제 봤는데 애들이 학교에서 단체로 영화에 집중해서 본건 처음인듯. 48번 라이언 고슬링만 보여ㅠㅠ대사가 너무 없었음ㅠㅠ	1
32	스토리는 솔직히말해 진부했지만 절정에 이르기까지의 열연과 음악선정 연출등으로 관객에게 최대한의긴장감과 수수께끼가 풀려가는 즐거움을 주기위한노력이 돋보인다. 또한 요즘같이 나가고싶어도나가지못하는 이런 시기에 나의 집, 가족이 가장 두려운 존재로 다가오는 것이 신선해서 좋다고 생각한다.	1
33	잘 모르겠다. 다만 하비에르 바르뎀의 사이코 연기와 보는 내내 다음은 어떻게 되는데? 세 사람이 어떻게 연결시킬건데? 라는 호기심을 일으킨 것은 만족스럽다. 그래도 결말은 잘 모르겠다.	1
34	전종서 배우 연기 처음보는데 정말 소름끼쳤음.	1
35	free hongkong	0
36	WWE 프로 레슬링  광팬으로써  더락  행님의   리즈  시절  화끈한 액션씬과 강렬한 카리스마와  특유의 말빨 이 종합 3종세트를 다 한꺼번에 다 보게되다니 축복 받은거라 았싸라비아 ~~ 너무 꿀 재미있게 잘 즐겨 봤습니다내 인생 최고의 영화였음믿고 보는 흥행의 제조기 더락 행님 개멋찌넹더락 행님 작품이면 꼭 다 챙겨 봐야지행님의 분노가 카지노를 한방에 다 뒤엎어버리넹 레알 지렸다 ~~실화를 바탕으로 제작한 영화라 더 감명 깊었고 감동 묵었고더욱 짠했다 마이 배우고 가네	1
37	뭐지 이게 . ..왜 이게 9점일까 .. .  30년전이라 그런건가 . ...그때는 잼있는 영화였나보다 .. .	0
38	우리나라에서도 이런 오락영화가 있었다니 근래에 나오는 영화들보다 훨씬 재밌다	1
39	가볍게 보기 최고 적당히 유머도 있고 재밌다	1
40	진짜 태어나서 본 영화중 제일 쓰레기하지말란건 좀 하지말고하란건 좀해라 진짜	0
41	만화를 영화로 제작했다는데 흥미있었는데 스케일도 크고 볼거리가 많고 재밌었어요	1
42	여기 벨 아버지로나온 양반이 우리사장님같아서 짜증	1
43	선넘은 영화 과유불급 그래도 잘만들긴한다	1
44	영드도 좋고 이영화도 좋고	1
45	천재라고 불리기전 그도 그저 사람일뿐인데	1
46	좋다. 산타의 기원인가? ㅎㅎㅎ	1
47	오랜만에 감명깊음 감독의 영화에 대한 애정도 느껴지는 수작	1
48	간만에 재밌는 영화~ 어쩜 이리도 연기들을 잘하누	1
49	그냥 뻔하디 뻔한 스토리. 주인공은 근본도 없이 세상 무서운 줄 모르고 조폭들에게 날뛰는데 주인공 버프로 흘러가는 스토리 개연성.	0
50	진짜 지브리 작품은 보면서 힐링받는 기분이 제대로 든다. 가끔 잃어버린 동심을 되찾는 느낌?	1
51	감동적이었습니다. 몰랐던 진리를 알게 되어서 감사드립니다.	1
52	연상효과란.. 겨울=이별=죽음=망각=러브레터=희망	1
53	우리 역시 깊이 생각해야한다.생명의 존엄성은 정치.경제.이념과 사상의 충돌을 떠나야한다.다 잃어도 잃지말아야 할 것이 있다.	1
54	마지막에 성동일이 통장까지 가지고있는데 정보를 모른다는게 말이 안되네	1
